,Start,End,Duration,Difference
0,2023-11-11 13:10:27.246627,2023-11-11 13:10:33.746627,,0 days 00:00:06.500000
1,2023-11-11 13:10:36.996627,2023-11-11 13:10:37.246627,,0 days 00:00:00.250000
2,2023-11-11 13:10:37.496627,2023-11-11 13:11:00.496627,,0 days 00:00:23
3,2023-11-11 13:11:35.996627,2023-11-11 13:11:46.496627,,0 days 00:00:10.500000
4,2023-11-11 13:11:47.246627,2023-11-11 13:11:48.246627,,0 days 00:00:01
5,2023-11-11 13:11:58.246627,2023-11-11 13:12:02.496627,,0 days 00:00:04.250000
6,2023-11-11 13:12:03.246627,2023-11-11 13:12:27.246627,,0 days 00:00:24
7,2023-11-11 13:12:31.496627,2023-11-11 13:13:35.746627,,0 days 00:01:04.250000
8,2023-11-11 13:13:36.746627,2023-11-11 13:13:44.996627,,0 days 00:00:08.250000
9,2023-11-11 13:13:46.996627,2023-11-11 13:13:52.246627,,0 days 00:00:05.250000
